34,39,43,41.5,38,40,41,39,41,42,38.75,39.75
39,45.5,50,45,47,49,45,42.75,40,41.5,38,37
43.75,45.5,51,48,53.5,56,51.5,47,42,40.5,40,39.75
45,49,53.5,52,51.5,53,51,46,42.5,39.5,38.75,38.75
39.75,39.75,39.75,39.75,39.75,39.75,43,43,41.5,43,40,41
39.75,39.75,39.75,39.75,39.75,39.75,39.75,38,30.5,35,38,49
